state,counts,Number,Quadrant,Quadrant State
110011011000111100010000111010111000000110011011010100100100100111010100101000100100111010111000010110100101111101010100011000111001001001010101001110011111100111001010010100000010100111100001,1,822,,Unknown
011000000110000011111011000010110111001001000111000011111011100000001010001110110001000100111000000111011001100110101111111001011111000111011001111111001000000100100101111100100101101101010011,1,385,,Unknown
110000000010111010001111101010001100100100011101110100100011100110011110000111110000111010010000011000011111011011011101010010111000000000101111101111111110111001000100100111100000100111100101,1,768,,Unknown
100000001010111000011010111100111011010001111100110100001011111111111101101101000100111101110101001010000011101010010101011111000101100101110011100010110000101100110010001010010110010001000100,1,514,,Unknown
110100111010011000011011100010100010100010001001000100010110100101001010001000001010011001010001001111111100110001111101000100100010001101010011000011110010010000011111101001101010001100111000,1,846,,Unknown
101111000111100101101010001111110010100000101100111111001100111110100011001011001000101111000011000110001100000100111100111011000100001101001111100101011010101111000010000110010100001100011010,1,753,,Unknown
011111111001010110000100000000110001000100110001111010100001110010111011110001100111011101011010001101110010111000011111001110001000111100101001110001110011110010101001000001000011110011001001,1,510,,Unknown
101100000001011011000110101001011011001000110010101010001010000111101111111100100111001001001100001000000000101100000100100111101000100101011101110101101000111000011101011000000010110100010110,1,704,,Unknown
000010001011110000111010100100110100001010001111100001011000011100001000001101110111011011000010000000000011100100000111101100001110110100010111101100000110110000100101110010110011110010000100,1,34,,Unknown
010100000100111010001011100101011000001000111010010000001011110001000010110101001000101000101000111110110010110010001101101111111010011001100000000101100010111100100001110111001010000011011101,1,321,,Unknown
111111110011111111011110111101100100101010010001001110110010101000110101001100110100110010011000110010001010101001110100011101100101000000100110111100011000101010111110000001001001111001100000,1,1020,,Unknown
110110101100011001011100010100010100100100100010011000011001011000100000110010010001001010110000000010011101000000100001101111010010001001010101000100011101111011100111010001000001111001011001,1,875,,Unknown
101100111100101011110001110001101011100111001111111111010001010100010101010011001111010001111001010001011111001110001100001110100010001001110001111111101100001100001110101001111000100010100001,1,719,,Unknown
000000111101100010101110110111011110111110011000011111000101000000010110001100010110100000001001101110111001100101011011001111110000010101000010101000000100010100011111100010011011011101011001,1,15,,Unknown
111100000101001110000000110110110101110011001100001110011000101001001110001111101101111110111100010000101100000111001101010110110001110001010100110011001001001011101110111011001111000011011101,1,961,,Unknown
111000011100000001111101000110100001111111110110111010111100110101000111011111110010110001000010111111100111101100001111100010010101101001001001000000110011101110110110110101110110010000000111,1,903,,Unknown
101001001100000010110010011111011000000001111111010010111001011000001011110100100011101001010110011011000001100100110100111000100111111100001101100001111001000101001011110010101110110101000000,1,659,,Unknown
010111010110111100011010111101101101100100100001000010001111000111101100000001010001010011101000100010011011101111011101101010000010100000110011111000001110100100101101101100000000000001100101,1,373,,Unknown
001000101111110101101100100010100100101010101100011000001001111001001111000001000110110101110010111100101100110011010111011011010001100101010001111110000100010010100111010100101011100000101111,1,139,,Unknown
001011101110111110110111011111010001011110010101010011100110001101101101011001000110101010110100110001010000001100010000011101000010001100000111011001001010111111000100001011100000111000101010,1,187,,Unknown
111111001110110011000011010111001101110101001111101110011010111010111101101101001111101111110100101011110101000001111010100000110111010011010011001101111010011000111000001111101101011000011010,1,1011,,Unknown
011011001110000010100111110001011000000100100111110000100000000000111010000100111100110000001011010100011000001001010010001111001011100101001110001110000111010110110011100011110101111111000110,1,435,,Unknown
001110010000100111000001001110111011110100000010111010010001111110110010000010001001010011111100100101110111101000111101010011001010001000000100010110010000101111000100000110011100100100000000,1,228,,Unknown
010010101010101110111100100111110110010110010001110000001000010000100111001111111100011110010101011011100111101001010001100011011100110000000100010100111011010001100001001101000111000100100001,1,298,,Unknown
110101001010001011011000000101100010000000110111001010111001001011110110011111101100111111000100000010001111011111111100101100100110011100010100001001110111010111010111111110110110101111001111,1,850,,Unknown
000011110100111101111001100011010100011101111001100101100111011101010101110000100001010000011001010110000100110110110100000011101000001100001011011110010101000000011110110101111001110010010011,1,61,,Unknown
100011000110111110111010100110111001011001000101101001001101010000111010011110111110011000001100010010000101111001010010011111110011100100011000100000100111011001100100010101000010011100111111,1,561,,Unknown
110000010011111101010010000111000001111001001011000100010011110000011111110010011101010100011110101111001111011001010000011100001101001100100101011001011111000111100001000100000101000110110110,1,772,,Unknown
101101110101100101001000001011110110110111010100001100000110110110101000110011010110101011000100011011101100011100001100001001010001011100101000001100110100011000111001010001000100011110000111,1,733,,Unknown
011101100101010000100101000111001011101110000100111111011001100101011111001000100001010101110001111100101010110011110011010010101011000100110000011110111100110111100000111100111101111000110010,1,473,,Unknown
100010100100111100101001101010111111101111011000111111001110001001001101010110011101010001110101000100011010000110110101000110110000111100011110100101110100000110100110100000110110111000111101,1,553,,Unknown
010100100100010110110110001000001101010000111111010100100001011000110011100110001000101111000111001010100000100011100010100110000110011010001000000110010100110100101011010110100001000011101101,1,329,,Unknown
000011011011011010111000010000100011011011011101011110101110101000001010111111011011101010011101011100011001100011110110000100000101001101110001001100111000111001010001110101011100001001110001,1,54,,Unknown
101010101100010010011101010111010000101110111001010110010011001111011100001100000110110010001101010100011111001100001111110001110010000000011011111001110000110111010010001101101001110110111100,1,683,,Unknown
011101101110101100010111011010111000100110101000100110000100010010101110110101000110010100000010011100111001110110001001101110110000110001001101001110010111001001001101110101111010101000001011,1,475,,Unknown
011011000110001011010001111111111101101111010001110011000111010010001100100000001101100010011000000101010001111010110001000100010111111100101011111011100000110001000001000100110100101011010010,1,433,,Unknown
011100011000000000000010001011010100001001101001000110110001010101111110010111001001010100110101010100000111101100101111001101011000001010110001111001011111111110011001001001000010000001010011,1,454,,Unknown
